Order,Grantor EIN,Grantor Name,Clean Grantor Name,Recipient EIN,Recipient Name,Clean Recipient Name,Grantor/Recipient Type,Cash Grant Amount
1,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,04-6010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,Bank of America Charitable Gift Fund,Nat-to-Nat,14900294
2,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,24419423
3,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,Nat-to-Nat,24897781
4,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,Nat-to-Nat,40272775
5,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,Nat-to-Nat,162583020
6,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,52-7082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT,Nat-to-Nat,33526327
7,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,04-6010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,Dechomai Foundation,Nat-to-Nat,14050447
8,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,20-0849590,GREATER HORIZONS,Silicon Valley Community Foundation,Nat-to-Nat,62284244
9,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,Nat-to-Nat,10634088
10,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,Nat-to-Nat,194975525
11,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,26-2048480,IMPACTASSETS INC,NPT Charitable Asset,Nat-to-Nat,22682109
12,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,Nat-to-Nat,183131878
13,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,Nat-to-Nat,14632569
14,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,Nat-to-Nat,57772765
15,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,35-2129262,RENAISSANCE CHARITABLE FOUNDATION INC,Chicago Community Trust,Nat-to-Nat,10278315
