Grantor EIN,Grantor Name,Recipient EIN,Recipient Name,Cash Grant Amount,Grantor/Recipient Type
10782573,ADVISORS CHARITABLE GIFT FUND INC,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$204,922 ",Nat-to-Nat
10782573,ADVISORS CHARITABLE GIFT FUND INC,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$455,168 ",Nat-to-Nat
10782573,ADVISORS CHARITABLE GIFT FUND INC,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$220,194 ",Nat-to-Nat
10782573,ADVISORS CHARITABLE GIFT FUND INC,593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND,"$254,975 ",Nat-to-Nat
46649138,FIDUCIARY CHARITABLE FOUNDATION DBA FIDUCIARY TRUST CHARITABLE,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$10,000 ",Nat-to-Nat
46649138,FIDUCIARY CHARITABLE FOUNDATION DBA FIDUCIARY TRUST CHARITABLE,300748315,BNY MELLON CHARITABLE GIFT FUND,"$24,680 ",Nat-to-Nat
46649138,FIDUCIARY CHARITABLE FOUNDATION DBA FIDUCIARY TRUST CHARITABLE,311640316,SCHWAB CHARITABLE FUND,"$7,570,616 ",Nat-to-Nat
46649138,FIDUCIARY CHARITABLE FOUNDATION DBA FIDUCIARY TRUST CHARITABLE,510198509,TIDES FOUNDATION,"$1,761,146 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,"$14,900,294 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$24,419,423 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,200849590,GREATER HORIZONS,"$215,230 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,"$24,897,781 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,237825575,NATIONAL PHILANTHROPIC TR,"$7,376,660 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,262048480,IMPACTASSETS INC,"$9,928,198 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,300748315,BNY MELLON CHARITABLE GIFT FUND,"$264,248 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,311663020,THE US CHARITABLE GIFT TRUST,"$134,347 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,311774905,GOLDMAN SACHS PHILANTHROPY FUND,"$40,272,775 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,341747398,AMERICAN ENDOWMENT FOUNDATION,"$162,583,020 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$2,909,439 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,516506426,AMERICAN GIFT FUND,"$135,222 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$33,526,327 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,812576201,THE INDEPENDENT CHARITABLE GIFT FUND,"$7,555 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,842049692,STIFEL CHARITABLE INC,"$1,793,334 ",Nat-to-Nat
61676688,DECHOMAI FOUNDATION INC,863177440,DAFFY CHARITABLE FUND,"$63,121 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,"$14,050,447 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,46649138,FIDUCIARY CHARITABLE FOUNDATION DBA FIDUCIARY TRUST CHARITABLE,"$2,199,072 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,"$3,644,288 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,133848582,FJC,"$377,580 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,136082763,RUDOLF STEINER FOUNDATION INC,"$9,728,071 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,137111099,BESSEMER NATIONAL GIFT FUND,"$515,445 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,200849590,GREATER HORIZONS,"$62,284,244 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,204286082,UNITED CHARITABLE,"$291,910 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,"$10,634,088 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,237825575,NATIONAL PHILANTHROPIC TR,"$194,975,525 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,262048480,IMPACTASSETS INC,"$22,682,109 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,274357830,NEMA FOUNDATION INC,"$182,202 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,300748315,BNY MELLON CHARITABLE GIFT FUND,"$2,589,601 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,311640316,SCHWAB CHARITABLE FUND,"$183,131,878 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,311663020,THE US CHARITABLE GIFT TRUST,"$2,496,237 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,311709466,T ROWE PRICE PROGRAM FOR CHARITABLE GIVING INC,"$24,595 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,311774905,GOLDMAN SACHS PHILANTHROPY FUND,"$14,632,569 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,341747398,AMERICAN ENDOWMENT FOUNDATION,"$57,772,765 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$10,278,315 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,431634280,CHARITIES AID FOUNDATION AMERICA,"$9,859,745 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,431890105,SERVANT FOUNDATION,"$605,600 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,454602256,CAUZE CHARITABLE FUND,"$10,000 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,454678325,BRADLEY IMPACT FUND INC,"$35,333,788 ",Nat-to-Nat
