Order,Source,Source Level,Recipient,Recipient Level,Amount
1,Donor-advised fund sponsors (national and community foundation only),2,"Arts, culture, humanities",3,3.42
2,Donor-advised fund sponsors (national and community foundation only),2,Education (minus colleges and universities),3,6.99
3,Donor-advised fund sponsors (national and community foundation only),2,Colleges and universities,3,6.82
4,Donor-advised fund sponsors (national and community foundation only),2,Environment and animals,3,3.41
5,Donor-advised fund sponsors (national and community foundation only),2,Health (minus hospitals and nursing homes),3,3.49
6,Donor-advised fund sponsors (national and community foundation only),2,Hospitals and nursing homes,3,2.15
7,Donor-advised fund sponsors (national and community foundation only),2,Human Services,3,9.38
8,Donor-advised fund sponsors (national and community foundation only),2,International/foreign affairs,3,3.14
9,Donor-advised fund sponsors (national and community foundation only),2,Public/societal benefit (minus national DAF sponsors),3,4.98
10,Donor-advised fund sponsors (national and community foundation only),2,Foundations (minus community foundation DAF sponsors),2,-
11,Donor-advised fund sponsors (national and community foundation only),2,Donor-advised fund sponsors (national and community foundation only) (loop),2,4.4
,Donor-advised fund sponsors (national and community foundation only) (loop),2,Donor-advised fund sponsors (national and community foundation only),2,4.4
12,Donor-advised fund sponsors (national and community foundation only),2,Religious congregations,3,5.48
13,Donor-advised fund sponsors (national and community foundation only),2,"Unknown, unclassified",3,0.4
14,Individuals,1,"Arts, culture, humanities",3,8.72
15,Individuals,1,Education (minus colleges and universities),3,18.62
16,Individuals,1,Colleges and universities,3,11.9
17,Individuals,1,Environment and animals,3,6.54
18,Individuals,1,Health (minus hospitals and nursing homes),3,13.14
19,Individuals,1,Hospitals and nursing homes,3,6.48
20,Individuals,1,Human Services,3,30.51
21,Individuals,1,International/foreign affairs,3,10.9
22,Individuals,1,Public/societal benefit (minus national DAF sponsors),3,21.79
23,Individuals,1,Foundations (minus community foundation DAF sponsors),2,70.8
24,Individuals,1,Donor-advised fund sponsors (national and community foundation only),2,68.67
25,Individuals,1,Religious congregations,3,97.72
26,Individuals,1,"Unknown, unclassified",3,0
27,Foundations (minus community foundation DAF sponsors),2,"Arts, culture, humanities",3,3.89
28,Foundations (minus community foundation DAF sponsors),2,Education (minus colleges and universities),3,8.33
29,Foundations (minus community foundation DAF sponsors),2,Colleges and universities,3,5.33
30,Foundations (minus community foundation DAF sponsors),2,Environment and animals,3,2.92
