Source,Recipient,Amount
Donor-advised fund sponsors (national and community foundation only),"Arts, culture, humanities",3.42
Donor-advised fund sponsors (national and community foundation only),Education (minus colleges and universities),6.99
Donor-advised fund sponsors (national and community foundation only),Colleges and universities,6.82
Donor-advised fund sponsors (national and community foundation only),Environment and animals,3.41
Donor-advised fund sponsors (national and community foundation only),Health (minus hospitals and nursing homes),3.49
Donor-advised fund sponsors (national and community foundation only),Hospitals and nursing homes,2.15
Donor-advised fund sponsors (national and community foundation only),Human Services,9.38
Donor-advised fund sponsors (national and community foundation only),International/foreign affairs,3.14
Donor-advised fund sponsors (national and community foundation only),Public/societal benefit (minus national DAF sponsors),4.98
Donor-advised fund sponsors (national and community foundation only),Foundations (minus community foundation DAF sponsors),-
Donor-advised fund sponsors (national and community foundation only),Donor-advised fund sponsors (national and community foundation only) (loop),4.4
Donor-advised fund sponsors (national and community foundation only) (loop),Donor-advised fund sponsors (national and community foundation only),4.4
Donor-advised fund sponsors (national and community foundation only),Religious congregations,5.48
Donor-advised fund sponsors (national and community foundation only),"Unknown, unclassified",0.4
Individuals,"Arts, culture, humanities",8.72
Individuals,Education (minus colleges and universities),18.62
Individuals,Colleges and universities,11.9
Individuals,Environment and animals,6.54
Individuals,Health (minus hospitals and nursing homes),13.14
Individuals,Hospitals and nursing homes,6.48
Individuals,Human Services,30.51
Individuals,International/foreign affairs,10.9
Individuals,Public/societal benefit (minus national DAF sponsors),21.79
Individuals,Foundations (minus community foundation DAF sponsors),70.8
Individuals,Donor-advised fund sponsors (national and community foundation only),68.67
Individuals,Religious congregations,97.72
Individuals,"Unknown, unclassified",0
Foundations (minus community foundation DAF sponsors),"Arts, culture, humanities",3.89
Foundations (minus community foundation DAF sponsors),Education (minus colleges and universities),8.33
Foundations (minus community foundation DAF sponsors),Colleges and universities,5.33
Foundations (minus community foundation DAF sponsors),Environment and animals,2.92
Foundations (minus community foundation DAF sponsors),Health (minus hospitals and nursing homes),5.88
Foundations (minus community foundation DAF sponsors),Hospitals and nursing homes,2.92
Foundations (minus community foundation DAF sponsors),Human Services,13.66
Foundations (minus community foundation DAF sponsors),International/foreign affairs,4.9
Foundations (minus community foundation DAF sponsors),Public/societal benefit (minus national DAF sponsors),6.57
Foundations (minus community foundation DAF sponsors),Foundations (minus community foundation DAF sponsors) (loop),22.5
Foundations (minus community foundation DAF sponsors) (loop),Foundations (minus community foundation DAF sponsors),22.5
Foundations (minus community foundation DAF sponsors),Donor-advised fund sponsors (national and community foundation only),3.2
Foundations (minus community foundation DAF sponsors),Religious congregations,23.43
Foundations (minus community foundation DAF sponsors),"Unknown, unclassified",0
Bequests,"Arts, culture, humanities",1.6
Bequests,Education (minus colleges and universities),3.43
Bequests,Colleges and universities,2.2
Bequests,Environment and animals,1.2
Bequests,Health (minus hospitals and nursing homes),2.42
Bequests,Hospitals and nursing homes,1.2
Bequests,Human Services,5.63
Bequests,International/foreign affairs,2.02
Bequests,Public/societal benefit (minus national DAF sponsors),4.03
Bequests,Foundations (minus community foundation DAF sponsors),9.27
Bequests,Donor-advised fund sponsors (national and community foundation only),Unknown
Bequests,Religious congregations,9.66
Bequests,"Unknown, unclassified",0
Federated Giving,"Arts, culture, humanities",0.13
Federated Giving,Education (minus colleges and universities),0.27
Federated Giving,Colleges and universities,0.17
Federated Giving,Environment and animals,0.1
Federated Giving,Health (minus hospitals and nursing homes),0.19
Federated Giving,Hospitals and nursing homes,0.1
Federated Giving,Human Services,0.45
Federated Giving,International/foreign affairs,0.16
Federated Giving,Public/societal benefit (minus national DAF sponsors),0.32
Federated Giving,Foundations (minus community foundation DAF sponsors),0.73
Federated Giving,Donor-advised fund sponsors (national and community foundation only),Unknown
Federated Giving,Religious congregations,0.76
Federated Giving,"Unknown, unclassified",0
Corporations,"Arts, culture, humanities",1.37
Corporations,Education (minus colleges and universities),2.94
Corporations,Colleges and universities,1.88
Corporations,Environment and animals,1.03
Corporations,Health (minus hospitals and nursing homes),2.07
Corporations,Hospitals and nursing homes,1.03
Corporations,Human Services,4.82
Corporations,International/foreign affairs,1.73
Corporations,Public/societal benefit (minus national DAF sponsors),3.45
Corporations,Foundations (minus community foundation DAF sponsors),7.94
Corporations,Donor-advised fund sponsors (national and community foundation only),Unknown
Corporations,Religious congregations,8.27
Corporations,"Unknown, unclassified",0
State and local government,"Arts, culture, humanities",9.56
State and local government,Education (minus colleges and universities),33.34
State and local government,Colleges and universities,20.11
State and local government,Environment and animals,7.45
State and local government,Health (minus hospitals and nursing homes),14.17
State and local government,Hospitals and nursing homes,8.1
