EIN,Name,Assets
205205488,SILICON VALLEY COMMUNITY FOUNDATION,10356051571
46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,4162617542
341747398,AMERICAN ENDOWMENT FOUNDATION,7145882316
42103559,COMBINED JEWISH PHILANTHROPIES OF GREATER BOSTON INC,2188177334
454678325,BRADLEY IMPACT FUND INC,159276607
260724604,DECHOMAI ASSET TRUST,1648543806
61676688,DECHOMAI FOUNDATION INC,274724320
300748315,BNY MELLON CHARITABLE GIFT FUND,496581548
770312582,COMMUNITY FOUNDATION FOR SAN BENITO COUNTY,30110958
810739440,AMERICAN ONLINE GIVING FOUNDATION INC,314536037
382596725,GORDON CHRISTIAN TRUST,73680643
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,56657940564
593498416,GIVERS LEGACY FOUNDATION INC,64371485
141782466,AYCO CHARITABLE FOUNDATION,1047362000
522166327,DONORS TRUST INC,1291166098
825070897,THE SIGNATRY CHARITABLE TRUST,340612633
237160400,GREATER HOUSTON COMMUNITY FOUNDATION,1019145902
311774905,GOLDMAN SACHS PHILANTHROPY FUND,8981710000
262048480,IMPACTASSETS INC,2926060513
473574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,112353485
812375745,IMPACT INVESTING CHARITABLE TRUST,306507177
843754469,INTERNATIONAL GENEROSITY FOUNDATION TRUST,130948703
237174183,JEWISH COMMUNAL FUND,2900544504
237825575,NATIONAL PHILANTHROPIC TR,28241290750
581493949,NATL CHRISTIAN CHARITABLE FDN INC,5271121456
204326440,NCF CHARITABLE TRUST,2075895518
277059768,NPT CHARITABLE ASSET TR,17210516
352129262,RENAISSANCE CHARITABLE FOUNDATION INC,4181391517
450931286,PAYPAL CHARITABLE GIVING FUND,123651047
943136771,PHILANTHROPIC VENTURES FOUNDATION,81605913
527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,7062576748
431890105,SERVANT FOUNDATION,1433871293
862577635,TELESCOPE FUND,38127793
362167000,THE CHICAGO COMMUNITY TRUST,4528410929
474844275,THE DONORS FUND,220281509
813222963,THE GIVECLEAR FOUNDATION / TIFIN,25646145
311640316,SCHWAB CHARITABLE FUND,31640075723
113618879,THE OJC FUND,53969063
200849590,GREATER HORIZONS,2065376955
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,17014127929
822328799,VERTUASSETS FOUNDATION INC,16282082
510198509,TIDES FOUNDATION,646096687
