Order,EIN,Type,Name,Clean Name
6,26-0724604,Other Sponsors,DECHOMAI ASSET TRUST,Dechomai Asset Trust
7,06-1676688,Other Sponsors,DECHOMAI FOUNDATION INC,Dechomai Foundation
3,34-1747398,Other Sponsors,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation
4,04-2103559,Other Sponsors,COMBINED JEWISH PHILANTHROPIES OF GREATER BOSTON INC,Combined Jewish Phil. of Greater Boston
5,45-4678325,Other Sponsors,BRADLEY IMPACT FUND INC,Bradley Impact Fund
1,20-5205488,Community Foundations,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation
2,04-6010342,Commercially Affiliated Sponsors,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,Bank of America Charitable Gift Fund
8,30-0748315,Commercially Affiliated Sponsors,BNY MELLON CHARITABLE GIFT FUND,BNY Mellon Charitable Gift Fund
9,77-0312582,Community Foundations,COMMUNITY FOUNDATION FOR SAN BENITO COUNTY,Community Foundation for San Benito County
10,81-0739440,Donation/Workplace Processors,AMERICAN ONLINE GIVING FOUNDATION INC,American Online Giving Foundation
11,38-2596725,Other Sponsors,GORDON CHRISTIAN TRUST,Gordon Christian Trust
12,11-0303001,Commercially Affiliated Sponsors,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable
13,59-3498416,Other Sponsors,GIVERS LEGACY FOUNDATION INC,Givers Legacy Foundation
14,14-1782466,Commercially Affiliated Sponsors,AYCO CHARITABLE FOUNDATION,AYCO Charitable Foundation
15,52-2166327,Other Sponsors,DONORS TRUST INC,Donors Trust
16,82-5070897,Other Sponsors,THE SIGNATRY CHARITABLE TRUST,The Signatry Charitable Trust
17,23-7160400,Community Foundations,GREATER HOUSTON COMMUNITY FOUNDATION,Greater Houston Community Foundation
18,31-1774905,Commercially Affiliated Sponsors,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Phil. Fund
19,26-2048480,Other Sponsors,IMPACTASSETS INC,Impact Assets
20,47-3574130,Other Sponsors,IMPACT INVESTING CHARITABLE FOUNDATION INC,Impact Investing Charitable Foundation
21,81-2375745,Other Sponsors,IMPACT INVESTING CHARITABLE TRUST,Impact Investing Charitable Trust
22,84-3754469,Other Sponsors,INTERNATIONAL GENEROSITY FOUNDATION TRUST,Intl. Generosity Foundation Trust
23,23-7174183,Other Sponsors,JEWISH COMMUNAL FUND,Jewish Communal Fund
24,23-7825575,Other Sponsors,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust
25,58-1493949,Other Sponsors,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation
26,20-4326440,Other Sponsors,NCF CHARITABLE TRUST,NCF Charitable Trust
27,27-7059768,Other Sponsors,NPT CHARITABLE ASSET TR,NPT Charitable Asset Trust
28,35-2129262,Other Sponsors,RENAISSANCE CHARITABLE FOUNDATION INC,Renaissance Charitable Foundation
29,45-0931286,Donation/Workplace Processors,PAYPAL CHARITABLE GIVING FUND,PayPal Charitable Giving Fund
30,94-3136771,Other Sponsors,PHILANTHROPIC VENTURES FOUNDATION,Phil. Ventures Foundation
31,52-7082731,Commercially Affiliated Sponsors,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT
32,43-1890105,Other Sponsors,SERVANT FOUNDATION,Servant Foundation
33,86-2577635,Other Sponsors,TELESCOPE FUND,Telescope Fund
34,36-2167000,Community Foundations,THE CHICAGO COMMUNITY TRUST,Chicago Community Trust
35,47-4844275,Other Sponsors,THE DONORS FUND,The Donors Fund
36,81-3222963,Other Sponsors,THE GIVECLEAR FOUNDATION / TIFIN,The GiveClear Foundation (TIFIN)
37,31-1640316,Commercially Affiliated Sponsors,SCHWAB CHARITABLE FUND,DAF Giving 360 (Schwab Charitable)
38,11-3618879,Other Sponsors,THE OJC FUND,The OJC Fund
39,20-0849590,Other Sponsors,GREATER HORIZONS,Greater Horizons
40,23-2888152,Commercially Affiliated Sponsors,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable
41,82-2328799,Other Sponsors,VERTUASSETS FOUNDATION INC,Vertuassets Foundation
42,51-0198509,Other Sponsors,TIDES FOUNDATION,Tides Foundation
