EIN,Name
205205488,SILICON VALLEY COMMUNITY FOUNDATION
46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496
341747398,AMERICAN ENDOWMENT FOUNDATION
42103559,COMBINED JEWISH PHILANTHROPIES OF GREATER BOSTON INC
454678325,BRADLEY IMPACT FUND INC
260724604,DECHOMAI ASSET TRUST
61676688,DECHOMAI FOUNDATION INC
300748315,BNY MELLON CHARITABLE GIFT FUND
770312582,COMMUNITY FOUNDATION FOR SAN BENITO COUNTY
810739440,AMERICAN ONLINE GIVING FOUNDATION INC
382596725,GORDON CHRISTIAN TRUST
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND
593498416,GIVERS LEGACY FOUNDATION INC
141782466,AYCO CHARITABLE FOUNDATION
522166327,DONORS TRUST INC
825070897,THE SIGNATRY CHARITABLE TRUST
237160400,GREATER HOUSTON COMMUNITY FOUNDATION
311774905,GOLDMAN SACHS PHILANTHROPY FUND
262048480,IMPACTASSETS INC
473574130,IMPACT INVESTING CHARITABLE FOUNDATION INC
812375745,IMPACT INVESTING CHARITABLE TRUST
843754469,INTERNATIONAL GENEROSITY FOUNDATION TRUST
237174183,JEWISH COMMUNAL FUND
237825575,NATIONAL PHILANTHROPIC TR
581493949,NATL CHRISTIAN CHARITABLE FDN INC
204326440,NCF CHARITABLE TRUST
277059768,NPT CHARITABLE ASSET TR
352129262,RENAISSANCE CHARITABLE FOUNDATION INC
450931286,PAYPAL CHARITABLE GIVING FUND
943136771,PHILANTHROPIC VENTURES FOUNDATION
527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC
431890105,SERVANT FOUNDATION
862577635,TELESCOPE FUND
362167000,THE CHICAGO COMMUNITY TRUST
474844275,THE DONORS FUND
813222963,THE GIVECLEAR FOUNDATION / TIFIN
311640316,SCHWAB CHARITABLE FUND
113618879,THE OJC FUND
200849590,GREATER HORIZONS
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM
822328799,VERTUASSETS FOUNDATION INC
510198509,TIDES FOUNDATION
