NTEE_ACTIVITY,Count_D2D,Grant_Amount_D2D,Count_No_D2D,Grant_Amount_No_D2D
"Arts, Culture, Humanities",2.0,22300.0,40462,2905337715.0
Other Education,31.0,39583818.0,64692,6987959953.0
Colleges and Universities,5.0,327666.0,11542,5704185750.0
Environment and Animals,0.0,0.0,33254,2766862734.0
Other Health,12.0,372192.0,36035,3172544508.0
Hospitals and Nursing Homes,2.0,13500.0,5998,2282546148.0
Human Services,51.0,13463081.0,114785,8401091542.0
"International, Foreign Affairs",25.0,4193049.0,19062,2761109280.0
"Public, Societal Benefit",435.0,2199106377.0,41586,7438688100.0
Foundations,701.0,1726624495.0,9428,1658596789.0
Religion Related,64.0,111839323.0,70673,4811373774.0
"Unknown, Unclassified",0.0,0.0,4136,429555096.0
