NTEE_ACTIVITY,num_dafs,daf_contribs,daf_grants
"Arts, Culture, Humanities",41,3555447,5363987
Other Education,142,863938742,374905531
Colleges and Universities,32,105505831,180265168
Environment and Animals,31,14147519,10014692
Other Health,67,18283297,8447245
Hospitals and Nursing Homes,16,9016015,4336445
Human Services,149,508103647,426397817
"International, Foreign Affairs",34,66998523,62102404
"Public, Societal Benefit",301,33692009007,23716127137
Foundations,762,28600367446,28419494128
Religion Related,75,1102569866,855888873
"Unknown, Unclassified",11,4086473,2616301
