Activity Area Original,Activity Area,Total
"Arts, Culture, Humanities",Arts & culture,1.87E+11
Education,Other education,6.29E+11
Colleges and Universities,Colleges/universities,9.50E+11
Environment and Animals,Environment/animals,78943157804
Health,Other healthcare,5.44E+11
Hospitals and Nursing Homes,Hospitals/nursing homes,1.78E+12
Human Services,Human services,5.44E+11
"International, Foreign Affairs",International,70630764428
"Public, Societal Benefit",Societal benefit,5.87E+11
Religion Related,Religious congregations,75096868800
Mutual/Membership Benefit,Mutual/membership,25246317756
"Unknown, Unclassified",Other,16776870008
