Intermediary,Metric,Year,990 Value,Other Value
Private foundations,Assets,2020,1042859557935,
Private foundations,Assets,2021,1329097595552,
Private foundations,Assets,2022,1310018903478,
Private foundations,Assets,2023,1413679354149,
Private foundations,Assets,2024,1571657502587,
Private foundations,Contributions,2020,92268292457,
Private foundations,Contributions,2021,121137843753,
Private foundations,Contributions,2022,128212082424,
Private foundations,Contributions,2023,116000347756,
Private foundations,Contributions,2024,138912624874,
Private foundations,Grants,2020,90259046797,
Private foundations,Grants,2021,105604843146,
Private foundations,Grants,2022,118887322152,
Private foundations,Grants,2023,126635585114,
Private foundations,Grants,2024,132564110272,
Donor-advised funds,Assets,2020,152419755653,
Donor-advised funds,Assets,2021,239529821421,
Donor-advised funds,Assets,2022,235260614722,
Donor-advised funds,Assets,2023,253704215326,
Donor-advised funds,Assets,2024,322283888260,
Donor-advised funds,Contributions,2020,46527557413,
Donor-advised funds,Contributions,2021,85405510312,
Donor-advised funds,Contributions,2022,75236492213,
Donor-advised funds,Contributions,2023,63891111399,
Donor-advised funds,Contributions,2024,92761052703,
Donor-advised funds,Grants,2020,33212812983,
Donor-advised funds,Grants,2021,47253537644,
Donor-advised funds,Grants,2022,53275742238,
Donor-advised funds,Grants,2023,53643449776,
Donor-advised funds,Grants,2024,65856509752,
