Activity Area Original,Activity Area,Year,Revenue Adjusted for Inflation
Hospitals and nursing homes,Hospitals/nursing homes,2006,895
Hospitals and nursing homes,Hospitals/nursing homes,2009,896
Hospitals and nursing homes,Hospitals/nursing homes,2015,"1,239"
Hospitals and nursing homes,Hospitals/nursing homes,2023,"1,296"
Higher Education,Colleges/universities,2006,242
Higher Education,Colleges/universities,2009,192
Higher Education,Colleges/universities,2015,328
Higher Education,Colleges/universities,2023,301
Human Services,Human services,2006,268
Human Services,Human services,2009,266
Human Services,Human services,2015,303
Human Services,Human services,2023,332
Health,Other healthcare,2006,290
Health,Other healthcare,2009,301
Health,Other healthcare,2015,271
Health,Other healthcare,2023,323
Education,Other education,2006,128
Education,Other education,2009,116
Education,Other education,2015,161
Education,Other education,2023,197
"Public, Societal Benefit",Societal benefit,2006,144
"Public, Societal Benefit",Societal benefit,2009,119
"Public, Societal Benefit",Societal benefit,2015,147
"Public, Societal Benefit",Societal benefit,2023,178
Religious Congregations,Religious congregations,2006,181
Religious Congregations,Religious congregations,2009,143
Religious Congregations,Religious congregations,2015,129
Religious Congregations,Religious congregations,2023,137
Arts,Arts & culture,2006,48
Arts,Arts & culture,2009,41
Arts,Arts & culture,2015,57
Arts,Arts & culture,2023,53
International,International,2006,42
International,International,2009,41
International,International,2015,57
International,International,2023,51
"Environment, animals",Environment/animals,2006,20
"Environment, animals",Environment/animals,2009,18
"Environment, animals",Environment/animals,2015,26
"Environment, animals",Environment/animals,2023,32
