Source,Recipient,Amount
Donor-advised fund sponsors,"Arts, culture, humanities",2.68
Donor-advised fund sponsors,Education (minus colleges and universities),6.48
Donor-advised fund sponsors,Colleges and universities,5.26
Donor-advised fund sponsors,Environment and animals,2.55
Donor-advised fund sponsors,Health (minus hospitals and nursing homes),2.92
Donor-advised fund sponsors,Hospitals and nursing homes,2.1
Donor-advised fund sponsors,Human Services,7.76
Donor-advised fund sponsors,International/foreign affairs,2.55
Donor-advised fund sponsors,Public/societal benefit (minus national DAF sponsors),8.88
Donor-advised fund sponsors,Foundations (minus community foundation DAF sponsors),
Donor-advised fund sponsors,Donor-advised fund sponsors (ghost),4.4
Donor-advised fund sponsors (ghost),Donor-advised fund sponsors,4.4
Donor-advised fund sponsors,Religious congregations,4.54
Donor-advised fund sponsors,"Unknown, unclassified",0.4
Individuals,"Arts, culture, humanities",14.60
Individuals,Education (minus colleges and universities),35.61
Individuals,Colleges and universities,17.81
Individuals,Environment and animals,12.41
Individuals,Health (minus hospitals and nursing homes),30.44
Individuals,Hospitals and nursing homes,21.10
Individuals,Human Services,48.78
Individuals,International/foreign affairs,25.80
Individuals,Public/societal benefit (minus national DAF sponsors),47.06
Individuals,Foundations (minus community foundation DAF sponsors),53.78
Individuals,Donor-advised fund sponsors,56.29
Individuals,Religious congregations,54.18
Individuals,"Unknown, unclassified",1.26
Foundations (minus community foundation DAF sponsors),"Arts, culture, humanities",4.07
Foundations (minus community foundation DAF sponsors),Education (minus colleges and universities),10.55
Foundations (minus community foundation DAF sponsors),Colleges and universities,1.46
Foundations (minus community foundation DAF sponsors),Environment and animals,7.37
Foundations (minus community foundation DAF sponsors),Health (minus hospitals and nursing homes),10.67
Foundations (minus community foundation DAF sponsors),Hospitals and nursing homes,3.13
Foundations (minus community foundation DAF sponsors),Human Services,11.13
Foundations (minus community foundation DAF sponsors),International/foreign affairs,3.14
Foundations (minus community foundation DAF sponsors),Public/societal benefit (minus national DAF sponsors),17.68
Foundations (minus community foundation DAF sponsors),Foundations (minus community foundation DAF sponsors) (ghost),14.87
Foundations (minus community foundation DAF sponsors) (ghost),Foundations (minus community foundation DAF sponsors),14.87
Foundations (minus community foundation DAF sponsors),Donor-advised fund sponsors,3.20
Foundations (minus community foundation DAF sponsors),Religious congregations,2.63
Foundations (minus community foundation DAF sponsors),"Unknown, unclassified",0.64
Bequests,"Arts, culture, humanities",2.04
Bequests,Education (minus colleges and universities),4.97
Bequests,Colleges and universities,2.72
Bequests,Environment and animals,1.77
Bequests,Health (minus hospitals and nursing homes),3.94
Bequests,Hospitals and nursing homes,2.74
Bequests,Human Services,6.67
Bequests,International/foreign affairs,3.35
Bequests,Public/societal benefit (minus national DAF sponsors),6.6
Bequests,Foundations (minus community foundation DAF sponsors),6.13
Bequests,Donor-advised fund sponsors,Unknown
Bequests,Religious congregations,1.57
Bequests,"Unknown, unclassified",0.2
Federated Giving,"Arts, culture, humanities",0.19
Federated Giving,Education (minus colleges and universities),0.46
Federated Giving,Colleges and universities,0.25
Federated Giving,Environment and animals,0.16
Federated Giving,Health (minus hospitals and nursing homes),0.36
Federated Giving,Hospitals and nursing homes,0.25
Federated Giving,Human Services,0.62
Federated Giving,International/foreign affairs,0.31
Federated Giving,Public/societal benefit (minus national DAF sponsors),0.61
Federated Giving,Foundations (minus community foundation DAF sponsors),0
Federated Giving,Donor-advised fund sponsors,Unknown
Federated Giving,Religious congregations,0.14
Federated Giving,"Unknown, unclassified",0.02
Corporations,"Arts, culture, humanities",1.75
Corporations,Education (minus colleges and universities),4.25
Corporations,Colleges and universities,2.33
Corporations,Environment and animals,1.51
Corporations,Health (minus hospitals and nursing homes),3.37
Corporations,Hospitals and nursing homes,2.34
Corporations,Human Services,5.71
Corporations,International/foreign affairs,2.86
Corporations,Public/societal benefit (minus national DAF sponsors),5.65
Corporations,Foundations (minus community foundation DAF sponsors),5.25
Corporations,Donor-advised fund sponsors,Unknown
