NTEE_ACTIVITY,Count_of_Orgs,Grant_Amount
"Arts, Culture, Humanities",14731,791027554.0
Other Education,87105,5131653953.0
Colleges and Universities,829,64483582.0
Environment and Animals,11551,405095708.0
Other Health,14169,12058549450.0
Hospitals and Nursing Homes,3343,300653839.0
Human Services,40315,9286697991.0
"International, Foreign Affairs",2861,206788412.0
"Public, Societal Benefit",1788102,91443383040.0
Foundations,16091,621001055.0
Religion Related,11485,542708871.0
"Unknown, Unclassified",14078,402919657.0
