GRANTOR_NTEE_FIRST_DIGIT,Total_Cash_Grants_Original,Count_Original,Total_Cash_Grants_No_DAF2DAF,Count_No_DAF2DAF,DAF2DAF_Grants,Count_DAF2DAF_Grants
,86813.0,6,86813.0,6,0.0,0
0,11345542.0,29,11345542.0,29,0.0,0
A,32175220.0,487,32175220.0,487,0.0,0
B,3557361482.0,9147,3555562447.0,9134,1799035.0,13
C,120199847.0,262,120199847.0,262,0.0,0
D,94898833.0,70,94898833.0,70,0.0,0
E,1135028835.0,1034,1135028835.0,1034,0.0,0
F,492754.0,15,492754.0,15,0.0,0
G,104881144.0,585,104881144.0,585,0.0,0
H,25972305.0,58,25972305.0,58,0.0,0
I,42514658.0,718,41567571.0,712,947087.0,6
J,2085671.0,28,2085671.0,28,0.0,0
K,7787718.0,96,7787718.0,96,0.0,0
L,2404709.0,11,2404709.0,11,0.0,0
M,310124534.0,9610,308161762.0,9597,1962772.0,13
N,118075768.0,481,118075768.0,481,0.0,0
O,10343289.0,119,10343289.0,119,0.0,0
P,148038175.0,2294,148038175.0,2294,0.0,0
Q,177939557.0,1388,177939557.0,1388,0.0,0
R,11366387.0,348,11366387.0,348,0.0,0
S,9543339302.0,75736,8675363758.0,75590,867975544.0,146
T,45592073981.0,410170,41595138551.0,408850,3996935430.0,1320
V,33078751.0,427,29660554.0,420,3418197.0,7
W,19832362.0,647,18689603.0,642,1142759.0,5
X,898854098.0,4632,786179386.0,4606,112674712.0,26
Y,64662.0,2,64662.0,2,0.0,0
Z,4156247.0,192,4156247.0,192,0.0,0
