RECIPIENT_NTEE_FIRST_DIGIT,Total_Cash_Grants_Original,Count_Original,Total_Cash_Grants_No_DAF2DAF,Count_No_DAF2DAF,DAF2DAF_Grants,Count_DAF2DAF_Grants,NTEE_SHONNI
,8208558306.0,58814,8208558306.0,58814,0.0,0,
0,276872572.0,5236,276572359.0,5232,300213.0,4,
A,3037296143.0,41087,3036904743.0,41080,391400.0,7,A
B,12714690049.0,76232,12673362151.0,76162,41327898.0,70,B
C,2010785834.0,14964,2010708171.0,14959,77663.0,5,CD
D,1012795410.0,18759,1012795410.0,18759,0.0,0,CD
E,3479132742.0,21289,3478982134.0,21280,150608.0,9,EFGH
F,472670696.0,7170,472670696.0,7170,0.0,0,EFGH
G,621460656.0,8822,621430070.0,8820,30586.0,2,EFGH
H,422813150.0,3571,422813150.0,3571,0.0,0,EFGH
I,888493499.0,6944,885898357.0,6924,2595142.0,20,IJKLMNOP
J,315391986.0,2875,315391986.0,2875,0.0,0,IJKLMNOP
K,629791930.0,9177,626848283.0,9167,2943647.0,10,IJKLMNOP
L,757056050.0,9799,757056050.0,9799,0.0,0,IJKLMNOP
M,226543013.0,2636,226452806.0,2633,90207.0,3,IJKLMNOP
N,692855567.0,11849,692617676.0,11843,237891.0,6,IJKLMNOP
O,908133693.0,14256,908133693.0,14256,0.0,0,IJKLMNOP
P,3904123511.0,56516,3901209101.0,56490,2914410.0,26,IJKLMNOP
Q,2780414497.0,19049,2777227687.0,19035,3186810.0,14,Q
R,1028561750.0,7943,1028546750.0,7942,15000.0,1,RSTUVW
S,1922890851.0,11965,1210003869.0,11890,712886982.0,75,RSTUVW
T,7571442426.0,25022,3480079382.0,23845,4091363044.0,1177,RSTUVW
U,1745410895.0,1842,1745410895.0,1842,0.0,0,RSTUVW
V,267489105.0,1095,256482815.0,1085,11006290.0,10,RSTUVW
W,594410689.0,5801,591218558.0,5768,3192131.0,33,RSTUVW
X,4991687489.0,70648,4877541875.0,70584,114145614.0,64,X
Y,22137742.0,441,22137742.0,441,0.0,0,Y
Z,500612393.0,4790,500612393.0,4790,0.0,0,Z
