NTEE_SHONNI,Total_Cash_Grants_Original,Count_Original,Total_Cash_Grants_No_DAF2DAF,Count_No_DAF2DAF
A,3037296143.0,41087,3036904743.0,41080
B,7025882881.0,64596,6985126415.0,64538
CD,3023581244.0,33723,3023503581.0,33718
Colleges and Universities,5688807168.0,11636,5688235736.0,11624
EFGH,4996077244.0,40852,4995896050.0,40841
IJKLMNOP,8322389249.0,114052,8313607952.0,113987
Q,2780414497.0,19049,2777227687.0,19035
RSTUVW,13130205716.0,53668,8311742269.0,52372
X,4991687489.0,70648,4877541875.0,70584
Y,22137742.0,441,22137742.0,441
Z,500612393.0,4790,500612393.0,4790
