Object ID,EIN,Organization Name,Year of Tax Period End Date,RcpntBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,RcpntTbl_RcpntEIN,RcpntTbl_IRCSctnDsc,RcpntTbl_CshGrntAmt,RcpntTbl_PrpsOfGrntTxt,RcpntTbl_VltnMthdUsdDsc,RcpntTbl_NnCshAssstncDsc,USAddrss_AddrssLn2Txt,RcpntTbl_NnCshAssstncAmt,RcpntBsnssNm_BsnssNmLn2Txt,FrgnAddrss_AddrssLn1Txt,FrgnAddrss_CtyNm,FrgnAddrss_CntryCd,FrgnAddrss_PrvncOrSttNm,FrgnAddrss_FrgnPstlCd,GRANTOR_NTEE_COMBINED,GRANTOR_NTEE_FIRST_DIGIT,RECIPIENT_NTEE_COMBINED,RECIPIENT_NTEE_FIRST_DIGIT,NTEE_SHONNI
202432509349301128,202454729,COMMUNITIES OF COASTAL GEORGIA FOUNDATION INC,2023,GEORGIA PUBLIC BROADCASTING,260 14TH STREET NW,ATLANTA,GA,30318.0,581510475.0,501(C)(3),20000.0,GENERAL SUPPORT,,,,0.0,,,,,,,T31,T,W115,W,RSTUVW
202443189349305024,262048480,IMPACTASSETSINC,2023,AMERICAN FRIENDS OF RUACH TOVA,215 COUDERT PLACE,SOUTH ORANGE,NJ,7079.0,800163835.0,501(C)(3),25000.0,GENERAL SUPPORT,,,,0.0,,,,,,,T70,T,T40,T,RSTUVW
202403209349313980,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,2023,BOSTON FOUNDATION,75 ARLINGTON ST,BOSTON,MA,21163.0,42104021.0,501(C)(3),16250.0,UNRESTRICTED GENERAL SUPPORT,,,,0.0,,,,,,,T90,T,T31,T,RSTUVW
202410469349300741,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,2023,FRIENDS OF IVANHOE SCHOOL,2828 HERKIMER ST,LOS ANGELES,CA,900390985.0,954503051.0,501(C)(3),22829.0,GENERAL SUPPORT,,,,,,,,,,,T30,T,T01,T,RSTUVW
202411039349301716,311640316,SCHWAB CHARITABLE FUND,2023,CHILDREN'S CHARITY,1600 WEST LOOP SUITE 610,HOUSTON,TX,77027.0,760135741.0,501(C)3,9000.0,"PUBLIC, SOCIETAL BENEFIT",FMV,,,0.0,,,,,,,T30,T,S81,S,RSTUVW
202443139349303424,916013536,SEATTLE FOUNDATION,2023,SKYLIGHT PICTURES AND ENGAGEMENT,147 PRINCE ST 3RD FL,BROOKLYN,NY,112013022.0,465530678.0,501(C)(3),1000.0,TO SUPPORT BORDERLANDS FILM.,,,,0.0,,,,,,,T31,T,R60,R,RSTUVW
202423189349304787,522166327,DONORS TRUST INC,2023,INSTITUTE FOR ADVANCED STUDY,1 EINSTEIN DRIVE,PRINCETON,NJ,8540.0,210634988.0,501(C)(3),300000.0,FOR GENERAL OPERATIONS,,,,0.0,,,,,,,T99,T,U05,U,RSTUVW
202413059349302646,680480736,NETWORK FOR GOOD,2023,PRECIOUS PROJECT INC,231 BUSSEY ST,DEDHAM,MA,90720.0,471281673.0,501(C)(3),84214.0,UNRESTRICTED,,,,0.0,,,,,,,M19,M,T12,T,RSTUVW
202442479349301654,341747398,AMERICAN ENDOWMENT FOUNDATION,2023,CONTRA COSTA YOUTH COUNCIL,3411 MCELLEN CT,LAFAYETTE,CA,945495133.0,911773198.0,501(C)(3),10000.0,EDUCATIONAL,,,,0.0,,,,,,,T31,T,W70,W,RSTUVW
202411039349301716,311640316,SCHWAB CHARITABLE FUND,2023,HUMANIST GLOBAL CHARITY,99 PINEHURST ROAD,CANYON,CA,94516.0,463953105.0,501(C)3,11800.0,"PUBLIC, SOCIETAL BENEFIT",FMV,,,0.0,,,,,,,T30,T,W99,W,RSTUVW
202441369349301334,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,2023,INDIGENOUS MEDICINE CONSERVATION FUND,150 ALMAR AVE 475,SANTA CRUZ,CA,95060.0,873761970.0,501 (C)(3),250000.0,FOR GRANT RECIPIENT'S EXEMPT PURPOSES,,,,,,,,,,,S50,S,T30,T,RSTUVW
202410469349300741,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,2023,SAN DIEGO COUNTY PROSPERITY FOUNDATION,PO BOX 720332,SAN DIEGO,CA,921720332.0,461924716.0,501(C)(3),9860.0,GENERAL SUPPORT,,,,,,,,,,,T30,T,W19,W,RSTUVW
202430789349300118,363245072,THE ROTARY FOUNDATION OF ROTARY INTERNATIONAL,2023,ROTARY DISTRICT 5390,2600 MAIN ST SUITE 1,MILES CITY,MT,59301.0,816012488.0,501(C)(4),30400.0,ECON. AND COMMUNITY DEVELOP.-HUMANITARIAN,,,,0.0,,,,,,,Q1134,Q,S80,S,RSTUVW
202430469349302713,593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND,2023,JUDI'S HOUSE,10125 E 25TH AVE,AURORA,CO,80010.0,841600797.0,501(C)(3),7000.0,GENERAL SUPPORT,,,,,,,,,,,T30,T,T30,T,RSTUVW
202441369349301334,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,2023,FULCRUM FOUNDATION,710 9TH AVE,SEATTLE,WA,98104.0,161616262.0,501 (C)(3),81050.0,FOR GRANT RECIPIENT'S EXEMPT PURPOSES,,,,,,,,,,,S50,S,T20,T,RSTUVW
202410469349300741,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,2023,INDIVIDUALS STANDING AGAINST INTERPERSONAL VIOLENC,258 ALLSTON ST UNIT C,BRIGHTON,MA,2135.0,853529545.0,501(C)(3),14000.0,GENERAL SUPPORT,,,,,,,,,,,T30,T,W03,W,RSTUVW
202441369349301334,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,2023,COMMUNITY FORKLIFT,4671 TANGLEWOOD DR,EDMONSTON,MD,20781.0,521975012.0,501 (C)(3),17300.0,FOR GRANT RECIPIENT'S EXEMPT PURPOSES,,,,,,,,,,,S50,S,S21,S,RSTUVW
202430719349300413,203142622,LUTHERAN LEGACY FOUNDATION INC,2023,PEACE LUTHERAN SCHOOL ENDOW ASSOC,300 LINCOLN STREET,ANTIGO,WI,54409.0,391474294.0,501C3,50000.0,MATCHING SUPPORT,,,,,,,,,,,T31,T,T12,T,RSTUVW
202441359349309439,232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,2023,HEARTLAND INSTITUTE,3939 N WILKE RD,ARLINGTON HEIGHTS,IL,60004.0,363309812.0,501(C)3,253500.0,FOR RECIPIENT'S EXEMPT PURPOSE,FMV,,,,,,,,,,T700,T,W20G,W,RSTUVW
202441359349309439,232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,2023,SIDEKICK FOUNDATION INC,4000 WEST 106TH ST 125-238,CARMEL,IN,46032.0,453996413.0,501(C)3,5500.0,FOR RECIPIENT'S EXEMPT PURPOSE,FMV,,,,,,,,,,T700,T,T30,T,RSTUVW
202421349349305987,952942582,THE SAN DIEGO FOUNDATION,2023,ONEOC,1901 E 4TH ST STE 100,SANTA ANA,CA,92705.0,952021700.0,501(C)(3),25000.0,MUSIC PRESERVES FOUNDATION TO SUPPORT DISTRICT-WIDE AMERICAN MUSIC HISTORY COURSE,,,,0.0,,,,,,,T31,T,T40Z,T,RSTUVW
202411039349301716,311640316,SCHWAB CHARITABLE FUND,2023,RSM BOSTON FOUNDATION INC,80 CITY SQUARE,BOSTON,MA,21290000.0,464101902.0,501(C)3,12000.0,"PUBLIC, SOCIETAL BENEFIT",FMV,,,0.0,,,,,,,T30,T,T21,T,RSTUVW
202443179349309079,133062214,THE NEW YORK COMMUNITY TRUST,2023,UNITED WAY OF WESTCHESTER AND PUTNAM INC,336 CENTRAL PARK AVENUE,WHITE PLAINS,NY,106061500.0,131997636.0,501(C)(3),11400.0,FOR GENERAL SUPPORT.,,,,0.0,,,,,,,T31,T,T70Z,T,RSTUVW
202421169349301122,113813663,THE GOLDMAN SACHS CHARITABLE GIFT FUND,2023,ROBIN HOOD FOUNDATION,826 BROADWAY FL 9,NEW YORK,NY,10003.0,133441066.0,501(C)(3),1928800.0,COMMUNITY OUTREACH & ENRICHMENT PROGRAMS,,,,0.0,,,,,,,T30,T,T700,T,RSTUVW
202441149349301229,943192688,KAZAN MCCLAIN PARTNERS' FOUNDATION,2023,KING RIDGE FOUNDATION,PO BOX 5873,SANTA ROSA,CA,95402.0,270420906.0,501(C)(3),22500.0,GENERAL SUPPORT,,,,0.0,,,,,,,T90,T,T31,T,RSTUVW
