nice_name_default,order,nice_name_project,format_project,type_project,description_project
Object ID,1,,,,
EIN,2,EIN,,,
Organization Name,3,Name,,,
Year of Tax Period End Date,4,Year of Tax Period End Date,,,
Month of Tax Period End Date,5,Month of Tax Period End Date,,,
Total Revenue CY,6,"CY Total Revenue (Part I, Line 12, CY)",,,
Total Expenses CY,7,"CY Total Expenses (Part I, Line 18, CY)",,,
Total Assets EOY,8,"EOY Total Assets (Part I, Line 20, EOY)",,,
part_i_CYPrgrmSrvcRvnAmt,9,"CY Program Service Revenue Amount (Part I, Line 9, CY)",,,
Federated Campaigns,10,"Federated Campaigns (Part VIII, Line 1a)",,,
Membership Dues,11,"Membership Dues (Part VIII, Line 1b)",,,
Fundraising Events,12,"Fundraising Events (Part VIII, Line 1c)",,,
Related Organizations,13,"Related Organizations (Part VIII, Line 1d)",,,
Government Grants,14,"Government Grants (Part VIII, Line 1e)",,,
All Other Contributions,15,"All Other Contributions (Part VIII, Line 1f)",,,
Noncash Contributions,16,"Noncash Contributions (Part VIII, Line 1g)",,,
Total Contributions,17,"Total Contributions (Part VIII, Line 1h)",,,
BMF Subsection Code,18,BMF Subsection Code,,,
NTEE_COMBINED,19,NTEE_COMBINED,,,
