nice_name_default,order,nice_name_project,format_project,type_project,description_project
Object ID,1,,,,
EIN,2,EIN,,,
Organization Name,3,Name,,,
Year of Tax Period End Date,4,Year of Tax Period End Date,,,
Month of Tax Period End Date,5,Month of Tax Period End Date,,,
Independent Audit Checkbox,6,Independent Audit Checkbox (Part XII Line 2b),,,
Federal Grant Audit Required,7,Federal Audit Required Checkbox (Part XII Line 3a),,,
Federal Grant Audit Performed,8,Federal Audit Performed Checkbox (Part XII Line 3b),,,
BMF Subsection Code,9,BMF Subsection Code,,,
Total Revenue CY,10,CY Total Revenue,,,
Total Expenses CY,11,CY Total Expenses,,,
Total Assets EOY,12,EOY Total Assets,,,
Net Assets or Fund Balances EOY,13,EOY Net Assets or Fund Balances,,,
Federated Campaigns,14,Federated Campaigns,,,
Membership Dues,15,Membership Dues,,,
Fundraising Events,16,Fundraising Events,,,
Related Organizations,17,Related Organizations,,,
Government Grants,18,Government Grants,,,
All Other Contributions,19,All Other Contributions,,,
Total Contributions,20,Total Contributions Received,,,
Total Non-Government Contributions Received,21,Total Non-Government Contributions Received,,,
Noncash Contributions,22,Noncash Contributions Received,,,
Percent Noncash Contributions,23,Percent Noncash Contributions,,,
Total investment income,24,Investment Income (Part VIII Line 3(a)),,,
Net gain or loss from investments,25,Net Gain/Loss of Investment Sales (Part VIII Line 7d(a)),,,
Unrealized gain/loss,26,Unrealized Gain/Loss (Part XI Line 5),,,
Investment expenses,27,Investment Expenses (Part XI Line 7),,,
